Time,Value
2011-05-02,0.0
2011-05-03,0.017213356155834685
2011-05-04,0.03442161162274574
2011-05-05,0.051619667223253764
2011-05-06,0.06880242680231986
2011-05-07,0.08596479873744647
2011-05-08,0.10310169744743485
2011-05-09,0.1202080448993527
2011-05-10,0.13727877211326478
2011-05-11,0.15430882066428114
2011-05-12,0.1712931441814776
2011-05-13,0.18822670984324422
2011-05-14,0.2051044998686192
2011-05-15,0.2219215130041655
2011-05-16,0.2386727660059501
2011-05-17,0.255353295116187
2011-05-18,0.2719581575341055
2011-05-19,0.288482432880609
2011-05-20,0.304921224656289
2011-05-21,0.3212696616923644
2011-05-22,0.3375228995941133
2011-05-23,0.35367612217637157
2011-05-24,0.36972454289067314
2011-05-25,0.3856634062436071
2011-05-26,0.401487989205973
2011-05-27,0.4171936026123168
2011-05-28,0.4327755925504312
2011-05-29,0.4482293417404106
2011-05-30,0.4635502709028509
2011-05-31,0.47873384011578846
2011-06-01,0.4937755501599772
2011-06-02,0.5086709438521044
2011-06-03,0.5234156073655503
2011-06-04,0.5380051715382996
2011-06-05,0.5524353131676196
2011-06-06,0.5667017562911175
2011-06-07,0.5808002734538008
2011-06-08,0.5947266869607633
2011-06-09,0.6084768701151261
2011-06-10,0.6220467484408675
2011-06-11,0.6354323008901774
2011-06-12,0.6486295610349815
2011-06-13,0.6616346182422783
2011-06-14,0.6744436188329455
2011-06-15,0.687052767223667
2011-06-16,0.6994583270516471
2011-06-17,0.7116566222817747
2011-06-18,0.7236440382959124
2011-06-19,0.7354170229639855
2011-06-20,0.7469720876965552
2011-06-21,0.7583058084785624
2011-06-22,0.7694148268839378
2011-06-23,0.7802958510707755
2011-06-24,0.7909456567567772
2011-06-25,0.8013610881746766
2011-06-26,0.811539059007361
2011-06-27,0.8214765533024142
2011-06-28,0.831170626365808
2011-06-29,0.8406184056344782
2011-06-30,0.8498170915275278
2011-07-01,0.8587639582758029
2011-07-02,0.8674563547295968
2011-07-03,0.8758917051442429
2011-07-04,0.8840675099433636
2011-07-05,0.8919813464595485
2011-07-06,0.8996308696522433
2011-07-07,0.9070138128026359
2011-07-08,0.9141279881853337
2011-07-09,0.9209712877166346
2011-07-10,0.9275416835791966
